Estado,Clave SIINAH,Siglas,Centro de trabajo,Año,Mes,Tipo de visitantes,Número de visitas,Nacionalidad
Aguascalientes,2300100,M.- M.H,Museo Regional de Historia de Aguascalientes,2020,10,Boleto pagado,89,Nacional
Aguascalientes,2300100,M.- M.H,Museo Regional de Historia de Aguascalientes,2020,10,Exposiciones temporales con costo adicional,0,Extranjeros
Aguascalientes,2300100,M.- M.H,Museo Regional de Historia de Aguascalientes,2020,10,Trabajadores INAH,0,Nacional
Aguascalientes,2300100,M.- M.H,Museo Regional de Historia de Aguascalientes,2020,10,"Tercera edad, pensionados y jubilados",29,Nacional
Aguascalientes,2300100,M.- M.H,Museo Regional de Historia de Aguascalientes,2020,10,Exposiciones temporales con costo adicional,0,Nacional
Aguascalientes,2300100,M.- M.H,Museo Regional de Historia de Aguascalientes,2020,10,Entrada sin costo,8,Extranjeros
Baja California,2400100,M.- M.H,"Museo Histórico Regional, Ex Cuartel de la Compañía Fija",2020,1,Estudiantes nivel superior,0,Nacional
Baja California,2400100,M.- M.H,"Museo Histórico Regional, Ex Cuartel de la Compañía Fija",2020,1,Boleto pagado,0,Nacional
Baja California,2400100,M.- M.H,"Museo Histórico Regional, Ex Cuartel de la Compañía Fija",2020,1,Exposiciones temporales con costo adicional,0,Extranjeros
Baja California,2400100,M.- M.H,"Museo Histórico Regional, Ex Cuartel de la Compañía Fija",2020,1,Trabajadores INAH,0,Nacional
Baja California,2400100,M.- M.H,"Museo Histórico Regional, Ex Cuartel de la Compañía Fija",2020,1,"Tercera edad, pensionados y jubilados",0,Nacional
Baja California,2400100,M.- M.H,"Museo Histórico Regional, Ex Cuartel de la Compañía Fija",2020,1,Exposiciones temporales con costo adicional,0,Nacional
Baja California,2400100,M.- M.H,"Museo Histórico Regional, Ex Cuartel de la Compañía Fija",2020,1,Entrada sin costo,0,Extranjeros
Baja California,2400100,M.- M.H,"Museo Histórico Regional, Ex Cuartel de la Compañía Fija",2020,1,Profesores,0,Nacional
Baja California,2400100,M.- M.H,"Museo Histórico Regional, Ex Cuartel de la Compañía Fija",2020,1,Discapacitados,0,Nacional
Baja California,2400100,M.- M.H,"Museo Histórico Regional, Ex Cuartel de la Compañía Fija",2020,1,Entrada sin costo,0,Nacional
Baja California,2400100,M.- M.H,"Museo Histórico Regional, Ex Cuartel de la Compañía Fija",2020,1,Estudiantes nivel básico,0,Nacional
Baja California,2400100,M.- M.H,"Museo Histórico Regional, Ex Cuartel de la Compañía Fija",2020,1,Entrada dominical,0,Nacional
Baja California,2400100,M.- M.H,"Museo Histórico Regional, Ex Cuartel de la Compañía Fija",2020,1,Boleto pagado,0,Extranjeros
Baja California,2400100,M.- M.H,"Museo Histórico Regional, Ex Cuartel de la Compañía Fija",2020,2,Trabajadores INAH,0,Nacional
Baja California,2400100,M.- M.H,"Museo Histórico Regional, Ex Cuartel de la Compañía Fija",2020,2,"Tercera edad, pensionados y jubilados",0,Nacional
Baja California,2400100,M.- M.H,"Museo Histórico Regional, Ex Cuartel de la Compañía Fija",2020,2,Exposiciones temporales con costo adicional,0,Nacional
Baja California,2400100,M.- M.H,"Museo Histórico Regional, Ex Cuartel de la Compañía Fija",2020,2,Entrada sin costo,0,Extranjeros
Baja California,2400100,M.- M.H,"Museo Histórico Regional, Ex Cuartel de la Compañía Fija",2020,2,Profesores,0,Nacional
Baja California,2400100,M.- M.H,"Museo Histórico Regional, Ex Cuartel de la Compañía Fija",2020,2,Discapacitados,0,Nacional
Baja California,2400100,M.- M.H,"Museo Histórico Regional, Ex Cuartel de la Compañía Fija",2020,2,Entrada sin costo,0,Nacional
Baja California,2400100,M.- M.H,"Museo Histórico Regional, Ex Cuartel de la Compañía Fija",2020,2,Estudiantes nivel básico,0,Nacional
Baja California,2400100,M.- M.H,"Museo Histórico Regional, Ex Cuartel de la Compañía Fija",2020,2,Entrada dominical,0,Nacional
Baja California,2400100,M.- M.H,"Museo Histórico Regional, Ex Cuartel de la Compañía Fija",2020,2,Boleto pagado,0,Extranjeros
Baja California,2400100,M.- M.H,"Museo Histórico Regional, Ex Cuartel de la Compañía Fija",2020,2,Estudiantes nivel superior,0,Nacional
Baja California,2400100,M.- M.H,"Museo Histórico Regional, Ex Cuartel de la Compañía Fija",2020,2,Boleto pagado,0,Nacional
Baja California,2400100,M.- M.H,"Museo Histórico Regional, Ex Cuartel de la Compañía Fija",2020,2,Exposiciones temporales con costo adicional,0,Extranjeros
Baja California,2400100,M.- M.H,"Museo Histórico Regional, Ex Cuartel de la Compañía Fija",2020,3,Profesores,0,Nacional
Baja California,2400100,M.- M.H,"Museo Histórico Regional, Ex Cuartel de la Compañía Fija",2020,3,Discapacitados,0,Nacional
Baja California,2400100,M.- M.H,"Museo Histórico Regional, Ex Cuartel de la Compañía Fija",2020,3,Entrada sin costo,0,Nacional
Baja California,2400100,M.- M.H,"Museo Histórico Regional, Ex Cuartel de la Compañía Fija",2020,3,Estudiantes nivel básico,0,Nacional
Baja California,2400100,M.- M.H,"Museo Histórico Regional, Ex Cuartel de la Compañía Fija",2020,3,Entrada dominical,0,Nacional
Baja California,2400100,M.- M.H,"Museo Histórico Regional, Ex Cuartel de la Compañía Fija",2020,3,Boleto pagado,0,Extranjeros
Baja California,2400100,M.- M.H,"Museo Histórico Regional, Ex Cuartel de la Compañía Fija",2020,3,Estudiantes nivel superior,0,Nacional
Baja California,2400100,M.- M.H,"Museo Histórico Regional, Ex Cuartel de la Compañía Fija",2020,3,Boleto pagado,0,Nacional
Baja California,2400100,M.- M.H,"Museo Histórico Regional, Ex Cuartel de la Compañía Fija",2020,3,Exposiciones temporales con costo adicional,0,Extranjeros
Baja California,2400100,M.- M.H,"Museo Histórico Regional, Ex Cuartel de la Compañía Fija",2020,3,Trabajadores INAH,0,Nacional
Baja California,2400100,M.- M.H,"Museo Histórico Regional, Ex Cuartel de la Compañía Fija",2020,3,"Tercera edad, pensionados y jubilados",0,Nacional
Baja California,2400100,M.- M.H,"Museo Histórico Regional, Ex Cuartel de la Compañía Fija",2020,3,Exposiciones temporales con costo adicional,0,Nacional
Baja California,2400100,M.- M.H,"Museo Histórico Regional, Ex Cuartel de la Compañía Fija",2020,3,Entrada sin costo,0,Extranjeros
Baja California,2400100,M.- M.H,"Museo Histórico Regional, Ex Cuartel de la Compañía Fija",2020,4,Profesores,0,Nacional
Baja California,2400100,M.- M.H,"Museo Histórico Regional, Ex Cuartel de la Compañía Fija",2020,4,Discapacitados,0,Nacional
Baja California,2400100,M.- M.H,"Museo Histórico Regional, Ex Cuartel de la Compañía Fija",2020,4,Entrada sin costo,0,Nacional
Baja California,2400100,M.- M.H,"Museo Histórico Regional, Ex Cuartel de la Compañía Fija",2020,4,Estudiantes nivel básico,0,Nacional
Baja California,2400100,M.- M.H,"Museo Histórico Regional, Ex Cuartel de la Compañía Fija",2020,4,Entrada dominical,0,Nacional
Baja California,2400100,M.- M.H,"Museo Histórico Regional, Ex Cuartel de la Compañía Fija",2020,4,Boleto pagado,0,Extranjeros
Baja California,2400100,M.- M.H,"Museo Histórico Regional, Ex Cuartel de la Compañía Fija",2020,4,Estudiantes nivel superior,0,Nacional
Baja California,2400100,M.- M.H,"Museo Histórico Regional, Ex Cuartel de la Compañía Fija",2020,4,Boleto pagado,0,Nacional
Baja California,2400100,M.- M.H,"Museo Histórico Regional, Ex Cuartel de la Compañía Fija",2020,4,Exposiciones temporales con costo adicional,0,Extranjeros
Baja California,2400100,M.- M.H,"Museo Histórico Regional, Ex Cuartel de la Compañía Fija",2020,4,Trabajadores INAH,0,Nacional
Baja California,2400100,M.- M.H,"Museo Histórico Regional, Ex Cuartel de la Compañía Fija",2020,4,"Tercera edad, pensionados y jubilados",0,Nacional
Baja California,2400100,M.- M.H,"Museo Histórico Regional, Ex Cuartel de la Compañía Fija",2020,4,Exposiciones temporales con costo adicional,0,Nacional
Baja California,2400100,M.- M.H,"Museo Histórico Regional, Ex Cuartel de la Compañía Fija",2020,4,Entrada sin costo,0,Extranjeros
Baja California,2400100,M.- M.H,"Museo Histórico Regional, Ex Cuartel de la Compañía Fija",2020,5,Profesores,0,Nacional
Baja California,2400100,M.- M.H,"Museo Histórico Regional, Ex Cuartel de la Compañía Fija",2020,5,Discapacitados,0,Nacional
Baja California,2400100,M.- M.H,"Museo Histórico Regional, Ex Cuartel de la Compañía Fija",2020,5,Entrada sin costo,0,Nacional
Baja California,2400100,M.- M.H,"Museo Histórico Regional, Ex Cuartel de la Compañía Fija",2020,5,Estudiantes nivel básico,0,Nacional
Baja California,2400100,M.- M.H,"Museo Histórico Regional, Ex Cuartel de la Compañía Fija",2020,5,Entrada dominical,0,Nacional
